GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Clostridium	stercorarium	stercorarium	51:1127*	"comb. nov. (VP), homotypic syn."	(Madden 1983) Fardeau et al. 2001		1	"DSM 8532, NCIB 11754, ATCC 35414, DSM 6239, NCIMB 11754"	774989	798377
Clostridium	stercorarium	thermolacticum	51:1127*	"comb. nov. (VP), homotypic syn."	(Le Ruyet et al. 1988) Fardeau et al. 2001		1	"DSM 2910, TX41, ATCC 43739, TX 41"	774990	798379
Clostridium	stercorarium		33:837*	sp. nov. (VP)	Madden 1983 emend. Fardeau et al. 2001		1	"ATCC 35414, DSM 6239, DSM 8532, NCIB 11754, NCIMB 11754"	783675	798377
Clostridium	sticklandii		30:225	species (AL)	Stadtman and McClung 1957		1	"ATCC 12662, DSM 519, NCIB 10654, BCRC 14485, CCRC 14485, CCUG 9281, JCM 1433, NCIMB 10654, Stadtman HF"	774991	794920
Clostridium	straminisolvens		54:2043*	sp. nov. (VP)	Kato et al. 2004		1	"CSK1, DSM 16021, IAM 15070, JCM 21531, NBRC 103399"	774992	798380
Clostridium	subterminale		30:225	comb. nov. (AL)	(Hall and Whitehead 1927) Spray 1948		2	"ATCC 25774, DSM 6970, BCRC 14486, CCRC 14486, CCUG 21841, CDC KA152, JCM 1417, NCIMB 10746, VPI 20231"	774993	
Clostridium	sufflavum		59:981*	sp. nov. (VP)	Nishiyama et al. 2009		1	"CDT-1, DSM 19573, JCM 14807"	786638	798381
Clostridium	sulfidigenes		59:1661*	sp. nov. (VP)	Sallam and Steinbüchel 2009		1	"SGB2, DSM 18982, ATCC BAA–1538, ATCC BAA-1538"	787971	
Clostridium	swellfunianum		65:1	sp. nov. (VL)	Liu et al. 2015			"S11-3-10, CICC 10730, DSM 27788, JCM 19606"	792459	
Clostridium	symbiosum		30:225	comb. nov. (AL)	(Stevens 1956) Kaneuchi et al. 1976		2	"ATCC 14940, DSM 934, JCM 1297"	774995	
Clostridium	tagluense		59:1421*	sp. nov. (VP)	Suetin et al. 2009		1	"DSM 17763, A121, VKM B-2369"	787914	
Clostridium	tarantellae		66:1009*	comb. nov. (VP)	(Udey et al. 1977) Lawson and Rainey 2016		"2, t"	"UM-87, ATCC 29255, DSM 3997"	793810	
Clostridium	tepidiprofundi		58:852*	sp. nov. (VP)	Slobodkina et al. 2008		1	"SG 508, DSM 19306, VKM B-2459"	786317	
Clostridium	tepidum		67:2317*	sp. nov. (VP)	Dobritsa et al. 2017			"IEH 97212, NRRL B-65463, DSM 104389"	795524	
Clostridium	termitidis		42:327	sp. nov. (VL)	Hethener et al. 1992		1	"CT1112, DSM 5398, ATCC 51846"	774997	798382
Clostridium	tertium		30:225	comb. nov. (AL)	(Henry 1917) Bergey et al. 1923		"2, ht"	"ATCC 145573, ATCC 14573, DSM 2485, NCIB 10697, IAM 14196, JCM 6289, NBRC 103192, NCIMB 10697"	774998	
Clostridium	tetani		30:225	comb. nov. (AL)	(Flügge 1886) Bergey et al. 1923		"2, T, ht"	"ATCC 19406, CCUG 4220, NCTC 279"	774999	
Clostridium	tetanomorphum		39:127*	sp. nov. (VP)	(ex Bulloch et al. 1919) Wilde et al. 1989		"1, +"	"DSM 4474, NCTC 543, ATCC 49273, Robertson 259E"	775000	
Clostridium	thermaceticum		30:225	species (AL)	Fontaine et al. 1942	[DSMZ] nom. corrig.: <I>Clostridium thermoaceticum</I> (sic)	1	"DSM 521, DSM 2955, ATCC 35608, JCM 9319"	775001	778305
Clostridium	thermautotrophicum		32:384	sp. nov. (VL)	Wiegel et al. 1982	[DSMZ] nom. corrig.: <I>Clostridium thermoautotrophicum</I> (sic)	1	"DSM 1974, JW 701/3, ATCC 33924"	775002	778306
Clostridium	thermoaceticum		30:225	orthographically incorrect name	Fontaine et al. 1942		1	"DSM 2955, ATCC 35608, DSM 521, JCM 9319"	783676	778305
Clostridium	thermoalcaliphilum		44:111*	sp. nov. (VP)	Li et al. 1994		1	"DSM 7309, JW/YL23-2, ATCC 51508, CIP 105528"	775003	
Clostridium	thermoautotrophicum		32:384	orthographically incorrect name	Wiegel et al. 1982		1	"ATCC 33924, DSM 1974, JW 701/3"	783677	778306
Clostridium	thermobutyricum		39:199*	sp. nov. (VP)	Wiegel et al. 1989		1	"DSM 4928, JW171K, ATCC 49875"	775005	
Clostridium	thermocellum		30:225	species (AL)	Viljoen et al. 1926		1	"ATCC 27405, DSM 1237, NCIB 10682, DSMZ 1237, JCM 9322, LMG 10435, NBRC 103400, NRRL B-4536"	775006	798383
Clostridium	thermocopriae		38:279*	sp. nov. (VP)	Jin et al. 1988		1	"IAM 13577, JT 3-3, ATCC 51646, JCM 7501, JT3-3"	775007	782515
Clostridium	thermohydrosulfuricum		30:225	species (AL)	Klaushofer and Parkkinen 1965		1	"DSM 567, NCIB 10956, ATCC 35045, DSMZ 567, E100-69, LMG 6659, NCIMB 10956"	775009	782516
Clostridium	thermolacticum		38:220	sp. nov. (VL)	Le Ruyet et al. 1988		1	"DSM 2910, TX41, ATCC 43739, TX 41"	775010	798379
Clostridium	thermopalmarium		41:331	sp. nov. (VL)	Soh et al. 1991		1	"BVP, DSM 5974, ATCC 51427"	775011	
Clostridium	thermopapyrolyticum		41:281*	sp. nov. (VP)	Méndez et al. 1991		1	"UBA 305, SABAMMRCCC UBA 305"	783678	
Clostridium	thermosaccharolyticum		30:225	species (AL)	McClung 1935		1	"ATCC 7956, DSM 571, NCA 3814, NCIB 9385, DSMZ 571, HAMBI 2225, LMG 2811"	775012	782526
Clostridium	thermosuccinogenes		45:879	sp. nov. (VL)	Drent et al. 1995		1	"DSM 5807, IC"	775013	798384
Clostridium	thermosulfurigenes		33:896	sp. nov. (VL)	Schink and Zeikus 1983	[DSMZ] The original spelling <I>Clostridium thermosulfurogenes</I> (sic) has been corrected by Cato et al. 1986	1	"4B, ATCC 33743, DSM 2229"	775014	782527
Clostridium	thermosulfurogenes		33:896	orthographically incorrect name	Schink and Zeikus 1983		1	"4B, ATCC 33743, DSM 2229"	783679	782527
Clostridium	thiosulfatireducens		52:1461*	sp. nov. (VP)	Hernández-Eugenio et al. 2002		1	"CIP 106908, DSM 13105, Lup 21"	775015	
Clostridium	tyrobutyricum		30:225	species (AL)	van Beynum and Pette 1935		1	"ATCC 25755, DSM 2637, NCIB 10635, CCUG 48315, CIP 105092, DSMZ 2637, JCM 11008, LMG 1285"	775018	
Clostridium	uliginosum		51:1119*	sp. nov. (VP)	Matthies et al. 2001		1	"ATCC BAA-53, CK55, DSM 12992"	775019	
Clostridium	ultunense		46:1145*	sp. nov. (VP)	Schnürer et al. 1996		1	"BS, DSM 10521, ATCC 700254"	775020	
Clostridium	villosum		30:225	species (AL)	Love et al. 1979		1	"DSM 1645, NCTC 11220, ATCC 33388, VSB 3349"	775022	776204
Clostridium	vincentii		47:915	sp. nov. (VL)	Mountfort et al. 1997		1	"DSM 10228, lac-1"	775023	
Clostridium	viride		45:619	sp. nov. (VL)	Buckel et al. 1995		1	"ATCC 43977, DSM 6836, T2-7"	775024	
Clostridium	vulturis		65:1	sp. nov. (VL)	Paek et al. 2015	"[IJSEM] The etymology must read: ... of a vulture in Paju, ..."		"YMB-57, JCM 17998, KCTC 15114, DSM 100198"	792460	
Clostridium	xylanolyticum		41:140*	sp. nov. (VP)	Rogers and Baecker 1991 emend. Chamkha et al. 2001		1	"ATCC 49623, DSM 6555, strain ATCC 49623"	775026	
Clostridium	xylanovorans		50:3	sp. nov. (VL)	Mechichi et al. 2000		1	"DSM 12503, HESP1, JCM 31057"	775027	794359
Clostridium			30:225	genus (AL)	Prazmowski 1880 emend. Lawson and Rainey 2016	[DSMZ] emended description: IJSEM 66:1010-1012*			517000	
Cnuella	takakiae		64:607*	sp. nov. (VP)	Zhao et al. 2014		1	"RG1-1, CGMCC 1.12492, DSM 26897"	791501	
Cnuella			64:607*	gen. nov. (VP)	Zhao et al. 2014				518482	
Cnuibacter	physcomitrellae		66:680*	sp. nov. (VP)	Zhou et al. 2016 emend. Nouioui et al. 2018			"XA, CGMCC 1.15041, DSM 29843"	793795	
Cnuibacter			66:680*	gen. nov. (VP)	Zhou et al. 2016				518882	
Cobetia	amphilecti		63:288*	sp. nov. (VP)	Romanenko et al. 2013		1	"CCUG 49560, KMM 1561, NRIC 0815"	790397	
Cobetia	crustatorum		60:620*	sp. nov. (VP)	Kim et al. 2010		1	"JO1, JCM 15644, KCTC 22486"	788428	
Cobetia	litoralis		63:288*	sp. nov. (VP)	Romanenko et al. 2013		1	"CCUG 49563, KMM 3880, NRIC 0814"	790398	
Cobetia	marina		63:288*	comb. nov. (VP)	(Cobet et al. 1970) Arahal et al. 2002 emend. Romanenko et al. 2013	[DSMZ] emended description: IJSEM 63:295/296*	1	"219, ATCC 25374, DSM 4741, CCUG 49558, CECT 4278, CIP 104765, LMG 2217, NBRC 102605, NCIMB 1877, strain 219"	775028	
Cobetia	pacifica		63:288*	sp. nov. (VP)	Romanenko et al. 2013		1	"CCUG 49562, KMM 3879, NRIC 0813"	790399	
Cobetia			52:1915	gen. nov. (VL)	Arahal et al. 2002 emend. Romanenko et al. 2013	[DSMZ] emended description: IJSEM 63:295*			515391	
Cocleimonas	flava		61:412*	sp. nov. (VP)	Tanaka et al. 2011		1	"JCM 16494, KMM 3898, NRIC 0757, DSM 24830"	789028	
Cocleimonas			61:412*	gen. nov. (VP)	Tanaka et al. 2011				518060	
Coenonia	anatina		49:867*	sp. nov. (VP)	Vandamme et al. 1999		"2, t"	"1502-91, LMG 14328, DSM 25327, CCUG 46148, CIP 106119, LMG 14382"	783680	
Coenonia			49:867*	gen. nov. (VP)	Vandamme et al. 1999				517205	
Coetzeea	brasiliensis		66:5211*	sp. nov. (VP)	Kämpfer et al. 2016			"Braz8, LMG 29552, CIP 111088, DSM 103133"	794950	
Coetzeea			66:5211*	gen. nov. (VP)	Kämpfer et al. 2016				519102	
Cognatishimia	maritima		68:2393*	comb. nov. (VP)	(Park et al. 2012) Wirth and Whitman 2018		1	"CCUG 60021, DSM 28223, GSW-6, GSW-M6, KCTC 23347"	798656	
Cognatishimia			68:2393*	gen. nov. (VP)	Wirth and Whitman 2018				520407	
Cognatiyoonia	koreensis		68:2393*	comb. nov. (VP)	(Weon et al. 2006) Wirth and Whitman 2018		1	"DSM 17925, GA2-M3, KACC 11519"	798450	
Cognatiyoonia	sediminum		68:2393*	comb. nov. (VP)	(Liang et al. 2015) Wirth and Whitman 2018			"DSM 28715, JCM 30120, MCCC 1K00257, S3B03"	798731	
Cognatiyoonia			68:2393*	gen. nov. (VP)	Wirth and Whitman 2018				520408	
Cohaesibacter	celericrescens		69:255*	sp. nov. (VP)	Li et al. 2019			"H1304, KCTC 62075, MCCC 1H00241"	798093	
Cohaesibacter	gelatinilyticus		58:267*	sp. nov. (VP)	Hwang and Cho 2008 emend. Gallego et al. 2010		1	"CL-GR15, DSM 18289, KCCM 42319"	787124	
Cohaesibacter	haloalkalitolerans		63:4271*	sp. nov. (VP)	Sultanpuram et al. 2013		1	"JC131, KCTC 32038, NBRC 109022"	791249	
Cohaesibacter	marisflavi		61:762*	sp. nov. (VP)	Qu et al. 2011		1	"DQHS21, CGMCC 1.9157, NCCB 100300"	789137	
Cohaesibacter			58:267*	gen. nov. (VP)	Hwang and Cho 2008 emend. Qu et al. 2011 emend. Sultanpuram et al. 2013	[DSMZ] emended descriptions: IJSEM 61:765* and IJSEM 63:4275*			517743	
Cohnella	algarum		67:4767*	sp. nov. (VP)	Lee and Jeon 2017			"Pch-40, KACC 19279, JCM 32033"	796150	
Cohnella	arctica		62:817*	sp. nov. (VP)	Jiang et al. 2012		1	"M9-62, CCTCC AB 2010228, NRRL B-59459, DSM 26756"	789827	
Cohnella	boryungensis		62:2045	sp. nov. (VL)	Yoon and Jung 2012		1	"BR-29, KCTC 13735, CCUG 59598, DSM 26489"	790031	
Cohnella	cellulosilytica		62:1921*	sp. nov. (VP)	Khianngam et al. 2012		1	"FCN3-3, TISTR 1996, PCU 323, KCTC 13645, DSM 26488"	790080	
Cohnella	collisoli		65:3125*	sp. nov. (VP)	Lee et al. 2015			"NKM-5, KCTC 33634, CECT 8805"	793160	
Cohnella	damensis		60:1477	orthographically incorrect name	Luo et al. 2010	[DSMZ] the specific epithet has been corrected on validation	1	"13-25, CCTCC AB 208103, KCTC 13422"	788564	788562
Cohnella	damuensis		60:1477	sp. nov. (VL)	Luo et al. 2010		1	"13-25, CCTCC AB 208103, KCTC 13422"	788562	
Cohnella	endophytica		69:2004*	sp. nov. (VP)	Meng et al. 2019			"CGMCC 1.13745, KCTC 43011, M2MS4P-1"	801276	
Cohnella	faecalis		69:572*	sp. nov. (VP)	Zhu et al. 2019			"CGMCC 1.13587, K2E09-144, NBRC 113454"	799867	
Cohnella	ferri		63:2365	sp. nov. (VL)	Mayilraj et al. 2013		1	"HIO-4, MTCC 8365, JCM 16139"	790805	
Cohnella	fontinalis		60:1344*	sp. nov. (VP)	Shiratori et al. 2010		1	"YT-1101, NBRC 104957, DSM 21753"	788575	
Cohnella	formosensis		63:2806*	sp. nov. (VP)	Hameed et al. 2013		1	"CC-Alfalfa-35, JCM 18405, BCRC 80428"	790994	
Cohnella	ginsengisoli		60:526*	sp. nov. (VP)	Kim et al. 2010		1	"GR21-5, KACC 11771, DSM 18997"	785970	
Cohnella	hongkongensis		56:781*	sp. nov. (VP)	Kämpfer et al. 2006			"CCUG 49571, CIP 107898, DSM 17642, HKU3, DSM 15572"	775037	
Cohnella	kolymensis		68:2912*	sp. nov. (VP)	Kudryashova et al. 2018			"20.16, DSM 104983, VKM B-2846"	797826	
Cohnella	laeviribosi		57:2902*	sp. nov. (VP)	Cho et al. 2007		1	"RI-39, KCTC 3987, KCCM 10653, CCUG 52217, DSM 21336, KCCM 10653P"	786995	
Cohnella	lubricantis		67:466*	sp. nov. (VP)	Kämpfer et al. 2017			"KSS-154-50, LMG 29763, CCM 8707, DSM 103658, KSS-154-50a2"	795092	
Cohnella	luojiensis		60:1605*	sp. nov. (VP)	Cai et al. 2010		1	"HY-22R, CCTCC AB 208254, NRRL B-59213, DSM 24270"	788623	
Cohnella	lupini		64:83*	sp. nov. (VP)	Flores-Félix et al. 2014		1	"RLAHU4B, LMG 27416, CECT 8236"	791495	
Cohnella	nanjingensis		64:3320*	sp. nov. (VP)	Huang et al. 2014			"D45, CCTCC AB 2014067, DSM 28246"	792109	
Cohnella	panacarvi		61:2563	sp. nov. (VL)	Yoon et al. 2011		1	"Gsoil 349, KCTC 13060, DSM 18696"	787554	
Cohnella	phaseoli		58:1855*	sp. nov. (VP)	García-Fraile et al. 2008		1	"GSPC1, DSM 19269, LMG 24086, strain GSPC1"	786182	
Cohnella	rhizosphaerae		64:1811*	sp. nov. (VP)	Kämpfer et al. 2014		1	"CSE-5610, LMG 28080, CIP 110695, DSM 28161"	791834	
Cohnella	saccharovorans		66:1713*	sp. nov. (VP)	Choi et al. 2016			"CJ22, KACC 17501, JCM 19227"	794020	
Cohnella	soli		62:473	sp. nov. (VL)	Kim et al. 2012		1	"YM2-7, KACC 13346, NBRC 106486, DSM 25951"	785969	
Cohnella	suwonensis		62:473	sp. nov. (VL)	Kim et al. 2012		1	"WD2-19, KACC 13347, NBRC 106485, DSM 25950"	789664	
Cohnella	terrae		60:2913*	sp. nov. (VP)	Khianngam et al. 2010		1	"MX21-2, KCTC 22295, PCU 310, TISTR 1892"	788928	
Cohnella	thailandensis		60:2284*	sp. nov. (VP)	Khianngam et al. 2010		1	"S1-3, KCTC 22296, TISTR 1890, PCU 306, DSM 25241"	788785	
Cohnella	thermotolerans		56:781*	sp. nov. (VP)	Kämpfer et al. 2006		1	"CCUG 47242, CIP 108492, DSM 17683"	775038	
Cohnella	xylanilytica		60:2913*	sp. nov. (VP)	Khianngam et al. 2010		1	"MX15-2, KCTC 22294, PCU 309, TISTR 1891, DSM 25239"	788929	
Cohnella	yongneupensis		60:526*	sp. nov. (VP)	Kim et al. 2010		1	"5YN10-14, KACC 11768, DSM 18998"	785971	
Cohnella			56:781*	gen. nov. (VP)	Kämpfer et al. 2006 emend. García-Fraile et al. 2008 emend. Khianngam et al. 2010	[DSMZ] emended description: IJSEM 58:1858* and IJSEM 60:2286*			515394	
Collimonas	antrihumi		68:2448*	sp. nov. (VP)	Lee 2018			"C3-17, DSM 104040, KACC 19055"	797734	
Collimonas	arenae		58:414*	sp. nov. (VP)	Höppener-Ogawa et al. 2008		1	"Ter10, CCUG 54727, LMG 23964, NCCB 100031, DSM 21398"	787212	
Collimonas	fungivorans		54:857*	sp. nov. (VP)	De Boer et al. 2004		1	"LMG 21973, NCCB 100033, Ter6, DSM 17622, CCUG 48868"	775054	
Collimonas	pratensis		58:414*	sp. nov. (VP)	Höppener-Ogawa et al. 2008		1	"Ter91, CCUG 54728, LMG 23965, DSM 21399, CTO 91"	787213	
Collimonas			54:857*	gen. nov. (VP)	De Boer et al. 2004 emend. Lee 2018				515398	
Collinsella	aerofaciens		49:557*	comb. nov. (VP)	(Eggerth 1935) Kageyama et al. 1999		2	"ATCC 25986, DSM 3979, JCM 10188, CCUG 28087, NCTC 11838, VPI 1003"	775055	
Collinsella	intestinalis		50:1767*	sp. nov. (VP)	Kageyama and Benno 2000 emend. Nouioui et al. 2018		1	"DSM 13280, JCM 10643, RCA56-68, CCUG 45296, CIP 106914, RCA 56-68"	775056	
Collinsella	massiliensis		66:2463	sp. nov. (VL)	Padmanabhan et al. 2016	[IJSEM] The etymology must read L. fem. adj. instead of L. masc. adj.		"GD3, CSUR P902, DSM 26110"	792187	
Collinsella	stercoris		50:1767*	sp. nov. (VP)	Kageyama and Benno 2000 emend. Nouioui et al. 2018		1	"DSM 13279, JCM 10641, RCA55-54, CCUG 45295, CIP 106913, RCA 55-54"	775057	
Collinsella	tanakaei		60:2639*	sp. nov. (VP)	Nagai et al. 2010		1	"YIT 12063, DSM 22478, JCM 16071"	788869	
Collinsella	vaginalis		69:949*	sp. nov. (VP)	Diop et al. 2019			"CSUR 2666, DSM103342, Marseille-P2666"	800686	
Collinsella			49:557*	gen. nov. (VP)	Kageyama et al. 1999 emend. Kageyama and Benno 2000	[DSMZ] emended description: IJSEM 50:1773*			515399	
Colwellia	aestuarii		56:33*	sp. nov. (VP)	Jung et al. 2006		1	"DSM 17314, KCTC 12480, SMK-10"	775069	
Colwellia	agarivorans		67:1969*	sp. nov. (VP)	Xu et al. 2017			"QM50, KCTC 52273, MCCC 1H00143"	795426	
Colwellia	aquaemaris		64:3926*	sp. nov. (VP)	Liu et al. 2014			"S1, CGMCC 1.12165, JCM 18479"	792382	
Colwellia	arctica		65:2777	sp. nov. (VL)	Wang et al. 2015			"435, ATCC BAA-2609, CICC 10860"	793264	
Colwellia	asteriadis		60:1952*	sp. nov. (VP)	Choi et al. 2010		1	"KMD 002, JCM 15608, KCCM 90077, DSM 21797"	788699	
Colwellia	beringensis		67:5102*	sp. nov. (VP)	Zhang et al. 2017			"NB097-1, MCCC 1A11668, KCTC 52554"	796296	
Colwellia	chukchiensis		61:850*	sp. nov. (VP)	Yu et al. 2011		1	"BCw111, CGMCC 1.9127, DSM 22576, LMG 25329"	789138	
Colwellia	echini		68:687*	sp. nov. (VP)	Christiansen et al. 2018			"A3, LMG 30125, NCIMB 15095"	797541	
Colwellia	hadaliensis		38:328	sp. nov. (VL)	Deming et al. 1988	[IJSEM] Type designated by author(s).	1	BNL-1	783682	
Colwellia	hornerae		48:1171*	sp. nov. (VP)	Bowman et al. 1998		1	"ACAM 607, CIP 105821, IC035"	783683	
Colwellia	marinimaniae		67:824*	sp. nov. (VP)	Kusube et al. 2017			"MTCD1, ATCC TSD-5, JCM 30270"	795209	
Colwellia	maris		48:1357*	sp. nov. (VP)	Yumoto et al. 1998		1	"ABE-1, JCM 10085, DSM 16033, CIP 106458"	775070	
Colwellia	meonggei		64:693	sp. nov. (VL)	Kim et al. 2014	"[IJSEM] The genus name Colwellia, printed correctly in the title of the paper, was misspelled Collwellia in the protologue."	1	"MA1-3, KCTC 32380, CECT 8302"	791577	
Colwellia	mytili		67:31*	sp. nov. (VP)	Kim et al. 2017			"RA2-7, KCTC 52417, NBRC 112381"	795051	
Colwellia	piezophila		54:1627*	sp. nov. (VP)	Nogi et al. 2004		1	"ATCC BAA-637, JCM 11831, Y223G"	783684	
Colwellia	polaris		58:1931*	sp. nov. (VP)	Zhang et al. 2008		1	"537, CGMCC 1.6132, JCM 13952"	787502	
Colwellia	psychrerythraea		38:328	sp. nov. (VL)	(ex D'Aoust and Kushner 1972) Deming et al. 1988	"[DSMZ] nom. corrig.: IJSB 48:1073*; <I>Colwellia psychroerythrus</I> (sic); basonym ""<I>Vibrio psychoerythrus</I>"""	1	"ATCC 27364, DSM 8813"	775071	
Colwellia	psychroerythrus		38:328	orthographically incorrect name	(ex D'Aoust and Kushner 1972) Deming et al. 1988	[DSMZ] nom. corrig. IJSB 48:1073* // [IJSEM] Type strain designated by the authors (personal communication).	1	"ATCC 27364, DSM 8813"	783685	775071
Colwellia	psychrotropica		48:1171*	sp. nov. (VP)	Bowman et al. 1998		1	ACAM 179	783686	
Colwellia	rossensis		48:1171*	sp. nov. (VP)	Bowman et al. 1998		1	"ACAM 608, S51-W(gv)1"	783687	
Colwellia	sediminilitoris		66:3258*	sp. nov. (VP)	Park et al. 2016	[IJSEM] The genus name Colwellia was misspelled as Collwellia in the protologue and in the section heading of the protologue.		"YSM-23, KCTC 52213, NBRC 111994"	794583	
Colwellia			38:328	gen. nov. (VL)	Deming et al. 1988	[IJSEM] Type designated by author(s).			515403	
Comamonas	acidovorans		41:427*	"comb. nov. (VP), homotypic syn."	(den Dooren de Jong 1926) Tamaoka et al. 1987 emend. Willems et al. 1991		"1, +"		775073	775497
Comamonas	aquatica		53:859*	comb. nov. (VP)	(Hylemon et al. 1973) Wauters et al. 2003			"ATCC 11330, CCUG 15845, LMG 2370, DSM 9155, CCUG 17395"	775074	
Comamonas	aquatilis		68:1210*	sp. nov. (VP)	Kämpfer et al. 2018			"CCM 8815, CIP 111491, SB30-Chr27-3"	797638	
Comamonas	badia		55:983	sp. nov. (VL)	Tago and Yokota 2005		1	"12, IAM 14839, KCTC 12244, DSM 17552, JCM 21345"	775075	
Comamonas	composti		58:251*	sp. nov. (VP)	Young et al. 2008		1	"YY287, BCRC 17659, LMG 24008, DSM 21721"	787125	
Comamonas	denitrificans		51:999*	sp. nov. (VP)	Gumaelius et al. 2001		1	"123, ATCC 700936, DSM 17887, CCUG 44425"	775077	
Comamonas	granuli		61:2563	sp. nov. (VL)	Kim et al. 2011		1	"Ko03, KCTC 12199, NBRC 101663, DSM 18411"	775078	
Comamonas	guangdongensis		63:809*	sp. nov. (VP)	Zhang et al. 2013		1	"CY01, CCTCC AB 2011133, KACC 16241, DSM 103041, CY 01"	790600	
Comamonas	humi		64:3976*	sp. nov. (VP)	Hatayama 2014			"GAU11, JCM 19903, DSM 28451"	792377	
Comamonas	jiangduensis		63:2168*	sp. nov. (VP)	Sun et al. 2013		1	"YW1, CCTCC AB 2012033, KACC 16697, DSM 100319"	790854	
Comamonas	kerstersii		53:859*	sp. nov. (VP)	Wauters et al. 2003		2	"AF61, CCUG 15333, LMG 3475, DSM 16026"	775079	
Comamonas	koreensis		52:377*	sp. nov. (VP)	Chang et al. 2002		1	"IMSNU 11158, KCTC 12005, YH-12, DSM 18232, CIP 108012"	775080	
Comamonas	nitrativorans		51:977*	sp. nov. (VP)	Etchebehere et al. 2001		1	"23310, CCT 7062, DSM 13191, NCCB 100007, CCUG 45781, CIP 107121, strain 23310"	775081	
Comamonas	odontotermitis		57:887*	sp. nov. (VP)	Chou et al. 2007		1	"Dant 3-8, BCRC 17576, LMG 23579, DSM 22023"	786152	
Comamonas	phosphati		66:456*	sp. nov. (VP)	Xie et al. 2016			"WYH 22-41, CGMCC 1.12294, DSM 26017"	793757	
Comamonas	piscis		66:780*	sp. nov. (VP)	Kang et al. 2016			"CN1, KACC 18403, JCM 30718"	793871	
Comamonas	sediminis		66:2735*	sp. nov. (VP)	Subhash et al. 2016			"S3, KEMB 563–466, JCM 31169, KEMB 563-466"	794311	
Comamonas	serinivorans		64:4141*	sp. nov. (VP)	Zhu et al. 2014			"SP-35, DSM 26136, JCM 18194"	792368	
Comamonas	terrae		62:2549	sp. nov. (VL)	Chitpirom et al. 2012		1	"A3-3, TISTR 1906, KCTC 22606, NBRC 106524, PCU 324, DSM 27221"	790173	
Comamonas	terrigena		35:443*	sp. nov. (VP)	(ex Hugh 1962) De Vos et al. 1985 emend. Willems et al. 1991 emend. Wauters et al. 2003	[DSMZ] senior synonym of <I>Aquaspirillum aquaticum</I>	2		775084	
Comamonas	testosteroni		41:427*	comb. nov. (VP)	(Marcus and Talalay 1956) Tamaoka et al. 1987 emend. Willems et al. 1991		"1, +"		775085	
Comamonas	thiooxidans		61:2025	orthographically incorrect name	Narayan et al. 2011		1	"DSM 17888, JCM 14801, S23"	775086	789354
Comamonas	thiooxydans		61:2025	sp. nov. (VL)	Narayan et al. 2011		1	"S23, DSM 17888, JCM 14801"	789354	
Comamonas	zonglianii		61:255*	sp. nov. (VP)	Yu et al. 2011		1	"BF-3, CCTCC AB 209170, DSM 22523"	789029	
Comamonas			35:443*	gen. nov. (VP)	(ex Davis and Park 1962) De Vos et al. 1985 emend. Tamaoka et al. 1987 emend. Willems et al. 1991 emend. Zhang et al. 2013	"[DSMZ] emended descriptions: IJSEM 37:57*, IJSEM 41:439* and IJSEM 63:812*"			515404	
Comitans			46:119*	gen. nov. (NVP)	Jacobi et al. 1996	[IJSEM] Comment on etymology by Oren (2017): The authors used lower case for this Candidatus name for which the proposed rank is not clear. The name appears to refer to the fact that the organism competes for carbon sources.			521763	
Commensalibacter			74:6171	gen. nov. (NVP)	Roh et al. 2008				521829	
Competibacter			148:3353	gen. nov. (NVP)	Crocetti et al. 2002				521764	
Compostibacillus	humi		65:346*	sp. nov. (VP)	Yu et al. 2015			"DX-3, KCTC 33104, CGMCC 1.12360"	792529	
Compostibacillus			65:346*	gen. nov. (VP)	Yu et al. 2015				518669	
Compostibacter	hankyongensis		66:3681*	sp. nov. (VP)	Siddiqi et al. 2016			"BS27, KACC 18745, JCM 17664"	794566	
Compostibacter			66:3681*	gen. nov. (VP)	Siddiqi et al. 2016				519044	
Compostimonas	suwonensis		62:2410*	sp. nov. (VP)	Kim et al. 2012 emend. Nouioui et al. 2018		1	"SMC46, KACC 13354, NBRC 106304, DSM 25625, SMC 46"	790211	
Compostimonas			62:2410*	gen. nov. (VP)	Kim et al. 2012				518261	
Conchiformibium	kuhniae		55:1395	orthographically incorrect name	Xie and Yokota 2005		1	"ATCC 29437, DSM 17694, IAM 15037, JCM 21500, NBRC 102458"	783688	775087
Conchiformibium	steedae		55:1395	orthographically incorrect name	(Kuhn and Gregory 1979) Xie and Yokota 2005		1	"ATCC 27409, DSM 2580, IAM 14972, JCM 21443, NBRC 102457"	783689	775088
Conchiformibium			55:1395	orthographically incorrect name	Xie and Yokota 2005				517206	515405
Conchiformibius	kuhniae		55:1395	sp. nov. (VL)	Xie and Yokota 2005	[IJSEM] The name of the genus has been corrected on validation. According to Rule 65(2) Conchiformibius corrig. is in the masculine gender.	1	"ATCC 29437, IAM 15037, DSM 17694, JCM 21500, NBRC 102458"	775087	
